concurrency,startedAt,requests,ok,errors,timeouts,errorRate,p50LatencyMs,p95LatencyMs,p99LatencyMs,p50TtfbMs,p95TtfbMs,p99TtfbMs,p50TokensPerSecond,p95TokensPerSecond,p99TokensPerSecond,stopReason
12,2026-06-02T09:39:40.163Z,100,100,0,0,0,657,732,741,579,673,674,12,13,15,request-limit
16,2026-06-02T09:39:45.969Z,100,100,0,0,0,652,1244,1246,579,1189,1190,12,14,15,request-limit
