mode,level,concurrency,targetRequestsPerSecond,scheduledRequests,maxObservedInflight,startedAt,requests,ok,errors,timeouts,errorRate,p50LatencyMs,p95LatencyMs,p99LatencyMs,p50TtfbMs,p95TtfbMs,p99TtfbMs,p50TokensPerSecond,p95TokensPerSecond,p99TokensPerSecond,p50InterTokenLatencyMs,p95InterTokenLatencyMs,p99InterTokenLatencyMs,outputTokens,benchmarkDurationMs,requestsPerSecond,outputTokensPerSecond,goodputChatPremiumOutputTokensPerSecond,goodputChatPremiumRequestsPerSecond,goodputInternalOutputTokensPerSecond,goodputInternalRequestsPerSecond,goodputBatchOutputTokensPerSecond,goodputBatchRequestsPerSecond,stopReason
request-rate,0.25rps,1,0.25,30,1,2026-06-02T17:05:12.945Z,30,30,0,0,0,2657,3123,3975,570,579,590,181,188,195,4,5,7,14490,120001,0.25,120.749,120.749,0.25,120.749,0.25,120.749,0.25,duration-limit
request-rate,0.5rps,2,0.5,60,2,2026-06-02T17:08:14.586Z,60,60,0,0,0,2524,2840,2996,511,531,586,193,206,208,4,5,5,29328,120484,0.498,243.4182,243.4182,0.498,243.4182,0.498,243.4182,0.498,duration-limit
request-rate,0.75rps,3,0.75,90,3,2026-06-02T17:11:16.707Z,90,90,0,0,0,2969,3129,3228,511,544,597,163,168,176,5,5,6,43548,121403,0.7413,358.7061,358.7061,0.7413,358.7061,0.7413,358.7061,0.7413,duration-limit
request-rate,1rps,4,1,120,4,2026-06-02T17:14:19.798Z,120,120,0,0,0,3823,3886,3944,514,526,577,128,132,148,7,7,7,58825,122275,0.9814,481.0877,481.0877,0.9814,481.0877,0.9814,481.0877,0.9814,duration-limit
request-rate,1.25rps,6,1.25,150,6,2026-06-02T17:17:23.738Z,150,150,0,0,0,4485,4608,4652,515,538,588,108,125,141,8,8,9,72922,122707,1.2224,594.2774,594.2774,1.2224,594.2774,1.2224,594.2774,1.2224,duration-limit
request-rate,1.5rps,8,1.5,180,8,2026-06-02T17:20:28.083Z,180,180,0,0,0,4887,4983,5041,518,536,595,99,105,128,9,9,9,87888,123108,1.4621,713.9097,713.9097,1.4621,713.9097,1.4621,713.9097,1.4621,duration-limit
request-rate,2rps,13,2,240,13,2026-06-02T17:23:32.888Z,240,240,0,0,0,6046,6176,6274,526,541,589,81,92,109,11,12,12,117575,123937,1.9365,948.6675,948.6675,1.9365,948.6675,1.9365,948.6675,1.9365,request-limit
