mode,level,concurrency,targetRequestsPerSecond,scheduledRequests,maxObservedInflight,startedAt,requests,ok,errors,timeouts,errorRate,p50LatencyMs,p95LatencyMs,p99LatencyMs,p50TtfbMs,p95TtfbMs,p99TtfbMs,p50TokensPerSecond,p95TokensPerSecond,p99TokensPerSecond,p50InterTokenLatencyMs,p95InterTokenLatencyMs,p99InterTokenLatencyMs,outputTokens,benchmarkDurationMs,requestsPerSecond,outputTokensPerSecond,goodputChatPremiumOutputTokensPerSecond,goodputChatPremiumRequestsPerSecond,goodputInternalOutputTokensPerSecond,goodputInternalRequestsPerSecond,goodputBatchOutputTokensPerSecond,goodputBatchRequestsPerSecond,stopReason
request-rate,3rps,26,3,240,26,2026-06-02T17:30:22.709Z,240,240,0,0,0,8367,8447,8454,551,568,594,61,75,90,15,16,16,121525,85459,2.8084,1422.0269,0,0,1422.0269,2.8084,1422.0269,2.8084,request-limit
request-rate,4rps,42,4,240,42,2026-06-02T17:32:49.813Z,240,240,0,0,0,9974,10331,10360,563,593,630,52,65,77,18,19,20,122576,66623,3.6024,1839.8451,0,0,1839.8451,3.6024,1839.8451,3.6024,request-limit
request-rate,5rps,61,5,240,61,2026-06-02T17:34:58.103Z,240,240,0,0,0,11407,12073,12115,574,625,682,45,59,69,21,23,23,122460,55622,4.3148,2201.6468,0,0,2201.6468,4.3148,2201.6468,4.3148,request-limit
request-rate,6rps,89,6,240,89,2026-06-02T17:36:55.386Z,240,240,0,0,0,13641,15495,15547,1694,4679,4926,38,47,56,23,25,25,123033,52312,4.5879,2351.9078,0,0,2351.9078,4.5879,2351.9078,4.5879,request-limit
request-rate,8rps,130,8,240,130,2026-06-02T17:38:49.344Z,240,240,0,0,0,16225,20942,21056,4376,11563,11710,31,46,52,22,24,24,122654,49386,4.8597,2483.5783,0,0,0,0,2483.5783,4.8597,request-limit
request-rate,10rps,167,10,240,167,2026-06-02T17:40:40.370Z,240,240,0,0,0,17901,25948,26064,6289,16497,16608,28,46,49,23,24,24,122642,48608,4.9375,2523.0826,0,0,0,0,2523.0826,4.9375,request-limit
